Notes_GF,Audio_File_Name,Number_Sentences,Number_LoLexConstrSentences,Number_MedLexConstrSentences,Number_HiLexConstrSentences,TargID_GM,targ,targ_Type,POS,Definition1,Definition1_Source,Definition2,Definition2_Source,Synonyms,Antonyms,Hypernyms,SisterConcepts,Synonym1,Syn1_FSG,Syn1_BSG,Syn1_MESA,Syn1_LSA,Syn1_EAT,Synonym2,Syn2_FSG,Syn2_BSG,Syn2_MESA,Syn2_LSA,Syn2_EAT,Synonym3,Syn3_FSG,Syn3_BSG,Syn3_MESA,Syn3_LSA,Syn3_EAT,MRC_NLET,MRC_NPHN,MRC_NSYL,MRC_BFRQ,MRC_KFFRQ,MRC_TLFRQ,MRC_FAM,MRC_AOA,LWV_DOLVL,LWV_PCTCOR,MRC_CNC,MRC_IMG
NA,Word77_AJ_raffish,1,NULL,NULL,NULL,77,raffish,rare,AJ,"a raffish person behaves in a confident and sometimes slightly shocking way, but in a way that is also attractive",Macmillan (via onelook.com),NA,NA,,,,,hip,NA,NA,NA,NA,NA,cool,NA,NA,NA,NA,NA,bohemian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word78_VB_equivocate,1,NULL,NULL,NULL,78,equivocate,Tier2_hard,VB,to avoid making a clear statement by saying something that has more than one possible meaning,Macmillan (via onelook.com),NA,NA,,,,,lie,NA,NA,NA,NA,NA,stonewall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
check usage (titivate = decorate vs. titivate = beautify),Word79_VB_titivate,1,NULL,NULL,NULL,79,titivate,rare,VB,to make someone or something look more attractive,Macmillan (via onelook.com),NA,NA,,,,,decorate,NA,NA,NA,NA,NA,adorn,NA,NA,NA,NA,NA,embellish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word80_VB_cavort,1,NULL,NULL,NULL,80,cavort,Tier2_hard,VB,play boisterously,WordNet (via onelook.com),NA,NA,,,,,play,NA,NA,NA,NA,NA,frolic,NA,NA,NA,NA,NA,celebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word81_VB_ephorize,1,NULL,NULL,NULL,81,ephorize,rare,VB,to rule; to have a controlling influence over,"McKean (""Totally Weird and Wonderful Words"")",NA,NA,,,,,control,NA,NA,NA,NA,NA,regulate,NA,NA,NA,NA,NA,dominate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word82_VB_chivy,1,NULL,NULL,NULL,82,chivy,rare,VB,annoy continually or chronically,WordNet (via onelook.com),NA,NA,,,,,nag,NA,NA,NA,NA,NA,coerce,NA,NA,NA,NA,NA,goad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word83_VB_defile,1,NULL,NULL,NULL,83,defile,Tier2_hard,VB,"to spoil something important, pure, or holy",Macmillan (via onelook.com),NA,NA,,,,,ruin,NA,NA,NA,NA,NA,spoil,NA,NA,NA,NA,NA,deface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word85_VB_emicate,1,NULL,NULL,NULL,85,emicate,rare,VB,to sparkle,Phrontistry (http://phrontistery.info),NA,NA,,,,,sparkle,NA,NA,NA,NA,NA,glisten,NA,NA,NA,NA,NA,coruscate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word86_VB_attest,1,NULL,NULL,NULL,86,attest,Tier2_hard,VB,"to state formally that you believe something is true, correct, or real",Macmillan (via onelook.com),NA,NA,,,,,state,NA,NA,NA,NA,NA,say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word87_AJ_benign,1,NULL,NULL,NULL,87,benign,Tier2_hard,AJ,not dangerous to health; not recurrent or progressive (especially of a tumor),WordNet (via onelook.com),NA,NA,,,,,safe,NA,NA,NA,NA,NA,safe,NA,NA,NA,NA,NA,innocuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word88_VB_chasten,1,NULL,NULL,NULL,88,chasten,Tier2_hard,VB,"to make someone feel ashamed or less confident (""She seemed suitably chastened by the experience."")",Macmillan (via onelook.com),NA,NA,,,,,correct,NA,NA,NA,NA,NA,admonish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word89_AJ_criant,1,NULL,NULL,NULL,89,criant,rare,AJ,garish; discordantly colored,Phrontistry (http://phrontistery.info),NA,NA,,,,,ugly,NA,NA,NA,NA,NA,garish,NA,NA,NA,NA,NA,gaudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word90_VB_debouch,1,NULL,NULL,NULL,90,debouch,rare,VB,"march out (as from a defile) into open ground (""The regiments debouched from the valley"");",Macmillan (via onelook.com),"pass out or emerge; especially of rivers (""The tributary debouched into the big river"")",Macmillan (via onelook.com),,,,,appear,NA,NA,NA,NA,NA,emerge,NA,NA,NA,NA,NA,emanate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word91_NN_eminence,1,NULL,NULL,NULL,91,eminence,Tier2_hard,NN,"high status importance owing to marked superiority (""A scholar of great eminence"")",WordNet (via onelook.com),NA,NA,,,,,fame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prestige,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word92_AJ_epinosic,1,NULL,NULL,NULL,92,epinosic,rare,AJ,unhealthy,Collins Dictionary,NA,NA,,,,,unhealthy,NA,NA,NA,NA,NA,noxious,NA,NA,NA,NA,NA,pernicious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word93_NN_epiphany,1,NULL,NULL,NULL,93,epiphany,Tier2_hard,NN,a moment when you suddenly realize or understand something important,Macmillan (via onelook.com),NA,NA,,,,,idea,NA,NA,NA,NA,NA,insight,NA,NA,NA,NA,NA,revelation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word94_VB_exacerbate,1,NULL,NULL,NULL,94,exacerbate,Tier2_hard,VB,to make a problem worse,Macmillan (via onelook.com),NA,NA,,,,,worsen,NA,NA,NA,NA,NA,inflame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word95_AJ_frigid,1,NULL,NULL,NULL,95,frigid,Tier2_hard,AJ,"extremely cold (""A frigid day"")",WordNet (via onelook.com),NA,NA,,,,,cold,NA,NA,NA,NA,NA,chilly,NA,NA,NA,NA,NA,glacial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word96_NN_fulgor,1,NULL,NULL,NULL,96,fulgor,rare,NN,Dazzling brightness; splendor.,Webster's (via onelook),NA,NA,,,,,shine,NA,NA,NA,NA,NA,luster,NA,NA,NA,NA,NA,sheen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word97_VB_goad,1,NULL,NULL,NULL,97,goad,Tier2_hard,VB,"to deliberately make someone feel very angry or upset so that they react; goad someone into doing something (""She was finally goaded into losing her temper."")",Macmillan (via onelook.com),NA,NA,,,,,nag,NA,NA,NA,NA,NA,coerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word98_AJ_heinous,1,NULL,NULL,NULL,98,heinous,Tier2_hard,AJ,(a heinous act or crime is) extremely evil,Macmillan (via onelook.com),NA,NA,,,,,awful,NA,NA,NA,NA,NA,horrifying,NA,NA,NA,NA,NA,terrible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word99_VB_inquinate,1,NULL,NULL,NULL,99,inquinate,rare,VB,To defile; to pollute; to contaminate; to befoul.,Webster's (via onelook),NA,NA,,,,,ruin,NA,NA,NA,NA,NA,spoil,NA,NA,NA,NA,NA,defile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word100_AJ_invictive,1,NULL,NULL,NULL,100,invictive,rare,AJ,insurmountable; undefeatable,Phrontistry (http://phrontistery.info),NA,NA,,,,,impossible,NA,NA,NA,NA,NA,insurmountable,NA,NA,NA,NA,NA,insuperable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word101_NN_incentive,1,NULL,NULL,NULL,101,incentive,Tier2_hard,NN,"something that makes you want to do something or to work harder, because you know that you will benefit by doing this",Macmillan (via onelook.com),NA,NA,,,,,gift,NA,NA,NA,NA,NA,inducement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word102_NN_penchant,1,NULL,NULL,NULL,102,penchant,Tier2_hard,NN,"a feeling of liking something very much or a tendency to do something a lot (penchant for: ""He has a penchant for giving lavish parties."")",Macmillan (via onelook.com),NA,NA,,,,,taste,NA,NA,NA,NA,NA,preference,NA,NA,NA,NA,NA,predilection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word103_VB_deteriorate,1,NULL,NULL,NULL,103,deteriorate,Tier2_hard,VB,"become worse or disintegrate (""His mind deteriorated"")",WordNet (via onelook.com),NA,NA,,,,,worsen,NA,NA,NA,NA,NA,degenerate,NA,NA,NA,NA,NA,erode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word104_VB_decimate,1,NULL,NULL,NULL,104,decimate,Tier2_hard,VB,"to spoil or destroy something, for example by getting rid of a lot of people (""The department has been decimated by years of budget cuts."")",NA,NA,NA,,,,,destroy,NA,NA,NA,NA,NA,demolish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word105_AJ_salubrious,1,NULL,NULL,NULL,105,salubrious,Tier2_hard,AJ,"favorable to health of mind or body (""Not the most salubrious campsite"")",WordNet (via onelook.com),"promoting health; healthful (""The salubrious mountain air and water- C.B.Davis"")",WordNet (via onelook.com),,,,,healthy,NA,NA,NA,NA,NA,wholesome,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word106_NN_auspices,1,NULL,NULL,NULL,106,auspices,Tier2_hard,NN,"kindly endorsement and guidance (""The tournament was held under the auspices of the city council"")",WordNet (via onelook.com),NA,NA,,,,,support,NA,NA,NA,NA,NA,patronage,NA,NA,NA,NA,NA,aegis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word107_NN_dross,1,NULL,NULL,NULL,107,dross,rare,NN,worthless material that should be removed,WordNet (via onelook.com),NA,NA,,,,,garbage,NA,NA,NA,NA,NA,trash,NA,NA,NA,NA,NA,debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word108_VB_bilk,1,NULL,NULL,NULL,108,bilk,Tier2_hard,VB,"cheat somebody out of what is due, especially money",WordNet (via onelook.com),NA,NA,,,,,cheat,NA,NA,NA,NA,NA,swindle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word109_NN_integrity,1,NULL,NULL,NULL,109,integrity,Tier2_hard,NN,moral soundness,WordNet (via onelook.com),NA,NA,,,,,honesty,NA,NA,NA,NA,NA,decency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word110_AJ_garish,1,NULL,NULL,NULL,110,garish,Tier2_hard,AJ,very bright and colorful in an ugly way,Macmillan (via onelook.com),NA,NA,,,,,ugly,NA,NA,NA,NA,NA,gaudy,NA,NA,NA,NA,NA,hideous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word111_VB_browbeat,1,NULL,NULL,NULL,111,browbeat,Tier2_hard,VB,discourage or frighten with threats or a domineering manner; intimidate,WordNet (via onelook.com),NA,NA,,,,,bully,NA,NA,NA,NA,NA,bully,NA,NA,NA,NA,NA,hector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word112_VB_castigate,1,NULL,NULL,NULL,112,castigate,Tier2_hard,VB,"to criticize someone or something severely (""He was castigated as a racist by his opponents."")",Macmillan (via onelook.com),NA,NA,,,,,scold,NA,NA,NA,NA,NA,scold,NA,NA,NA,NA,NA,rebuke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word114_VB_invalidate,1,NULL,NULL,NULL,114,invalidate,Tier2_hard,VB,"declare invalid; also ""to weaken or destroy the effect of (something)"" or ""to show or prove (something) to be false or incorrect""",WordNet (via onelook.com),NA,NA,,,,,cancel,NA,NA,NA,NA,NA,void,NA,NA,NA,NA,NA,vitiate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word115_VB_confound,1,NULL,NULL,NULL,115,confound,Tier2_hard,VB,be confusing or perplexing to; cause to be unable to think clearly,WordNet (via onelook.com),NA,NA,,,,,confuse,NA,NA,NA,NA,NA,befuddle,NA,NA,NA,NA,NA,perplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word120_NN_serenity,1,NULL,NULL,NULL,120,serenity,Tier2_hard,NN,a feeling of being calm or peaceful,Macmillan (via onelook.com),NA,NA,,,,,peace,NA,NA,NA,NA,NA,tranquility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word121_NN_sheen,1,NULL,NULL,NULL,121,sheen,Tier2_hard,NN,the visual property of something that shines with reflected light,WordNet (via onelook.com),NA,NA,,,,,gloss,NA,NA,NA,NA,NA,brilliance,NA,NA,NA,NA,NA,luster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word123_AJ_intrepid,1,NULL,NULL,NULL,123,intrepid,Tier2_hard,AJ,"not afraid to do dangerous things (""an intrepid explorer"")",Macmillan (via onelook.com),NA,NA,,,,,brave,NA,NA,NA,NA,NA,courageous,NA,NA,NA,NA,NA,dauntless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word124_AJ_uncouth,1,NULL,NULL,NULL,124,uncouth,Tier2_hard,AJ,"lacking refinement or cultivation or taste (""An untutored and uncouth human being"")",WordNet (via onelook.com),NA,NA,,,,,rude,NA,NA,NA,NA,NA,vulgar,NA,NA,NA,NA,NA,uncultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word125_AJ_nefarious,1,NULL,NULL,NULL,125,nefarious,Tier2_hard,AJ,"evil, or dishonest",Macmillan (via onelook.com),NA,NA,,,,,evil,NA,NA,NA,NA,NA,fiendish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word127_AJ_surly,1,NULL,NULL,NULL,127,surly,Tier2_hard,AJ,"inclined to anger or bad feelings with overtones of menace (""A surly waiter"")",WordNet (via onelook.com),NA,NA,,,,,grouchy,NA,NA,NA,NA,NA,irritable,NA,NA,NA,NA,NA,irascible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word128_NN_insolence,1,NULL,NULL,NULL,128,insolence,Tier2_hard,NN,an offensive disrespectful impudent act;,NA,the trait of being rude and impertinent; inclined to take liberties,WordNet (via onelook.com),,,,,disrespect,NA,NA,NA,NA,NA,impertinence,NA,NA,NA,NA,NA,impertinence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word129_NN_umbrage,1,NULL,NULL,NULL,129,umbrage,Tier2_hard,NN,a feeling of anger caused by being offended,WordNet (via onelook.com),NA,NA,,,,,anger,NA,NA,NA,NA,NA,offense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word131_NN_agility,1,NULL,NULL,NULL,131,agility,Tier2_hard,NN,the gracefulness of a person or animal that is quick and nimble,WordNet (via onelook.com),NA,NA,,,,,skill,NA,NA,NA,NA,NA,dexterity,NA,NA,NA,NA,NA,dexterity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word134_AJ_lithe,1,NULL,NULL,NULL,134,lithe,Tier2_hard,AJ,"moving and bending in a graceful way (""He was as lithe and strong as an athlete."")",Macmillan (via onelook.com),NA,NA,,,,,flexible,NA,NA,NA,NA,NA,limber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word136_AJ_emaciated,1,NULL,NULL,NULL,136,emaciated,Tier2_hard,AJ,extremely thin because of serious illness or lack of food,Macmillan (via onelook.com),NA,NA,,,,,skinny,NA,NA,NA,NA,NA,thin,NA,NA,NA,NA,NA,gaunt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word137_AJ_noisome,1,NULL,NULL,NULL,137,noisome,Tier2_hard,AJ,"extremely unpleasant, especially because of being very dirty or having a bad smell",Macmillan (via onelook.com),NA,NA,,,,,stinky,NA,NA,NA,NA,NA,smelly,NA,NA,NA,NA,NA,putrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word138_AJ_baleful,1,NULL,NULL,NULL,138,baleful,Tier2_hard,AJ,"threatening or foreshadowing evil or tragic developments (""A baleful look"")",WordNet (via onelook.com),"deadly or sinister (""The Florida eagles have a fierce baleful look"")",WordNet (via onelook.com),,,,,scary,NA,NA,NA,NA,NA,threatening,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word140_AJ_noxious,1,NULL,NULL,NULL,140,noxious,Tier2_hard,AJ,"harmful, or poisonous",Macmillan (via onelook.com),NA,NA,,,,,bad,NA,NA,NA,NA,NA,pernicious,NA,NA,NA,NA,NA,pernicious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word145_AJ_robust,1,NULL,NULL,NULL,145,robust,Tier2_hard,AJ,strong and healthy,Merriam-Webster (11th ed.),successful or impressive and not likely to fail or weaken,NA,,,,,strong,NA,NA,NA,NA,NA,potent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word147_NN_recreant,1,NULL,NULL,NULL,147,recreant,rare,NN,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,WordNet (via onelook.com),an abject coward,WordNet (via onelook.com),,,,,outlaw,NA,NA,NA,NA,NA,renegade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word148_VB_pilfer,1,NULL,NULL,NULL,148,pilfer,rare,VB,"to steal things, especially from the place where you work",Macmillan (via onelook.com),NA,NA,,,,,steal,NA,NA,NA,NA,NA,take,NA,NA,NA,NA,NA,swipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word151_NN_din,1,NULL,NULL,NULL,151,din,Tier2_hard,NN,a very loud unpleasant noise that lasts for a long time,Macmillan (via onelook.com),NA,NA,,,,,noise,NA,NA,NA,NA,NA,clamor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word156_AJ_captious,1,NULL,NULL,NULL,156,captious,Tier2_hard,AJ,"tending to find and call attention to faults (""A captious pedant"")",WordNet (via onelook.com),NA,NA,,,,,critical,NA,NA,NA,NA,NA,cantankerous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word157_AJ_canny,1,NULL,NULL,NULL,157,canny,Tier2_hard,AJ,"good at judging situations, especially in business, and careful not to be tricked",Macmillan (via onelook.com),NA,NA,,,,,smart,NA,NA,NA,NA,NA,clever,NA,NA,NA,NA,NA,astute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word159_VB_demure,1,NULL,NULL,NULL,159,demure,Tier2_hard,VB,quiet and polite,Merriam-Webster (11th ed.),NA,NA,,,,,shy,NA,NA,NA,NA,NA,bashful,NA,NA,NA,NA,NA,timid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word166_VB_undermine,1,NULL,NULL,NULL,166,undermine,Tier2_hard,VB,"fig. -- to make something or someone become gradually less effective, confident, or successful (""Britain was accused of undermining international efforts to reduce pollution."")",Macmillan (via onelook.com),"lit. -- to dig under something, especially so that it becomes weaker",Macmillan (via onelook.com),,,,,hurt,NA,NA,NA,NA,NA,diminish,NA,NA,NA,NA,NA,weaken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word168_VB_malign,1,NULL,NULL,NULL,168,malign,Tier2_hard,VB,"to say unpleasant things about someone or something, usually unfairly",Macmillan (via onelook.com),NA,NA,,,,,insult,NA,NA,NA,NA,NA,slander,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word169_NN_recluse,1,NULL,NULL,NULL,169,recluse,Tier2_hard,NN,someone who lives alone and avoids seeing other people,Macmillan (via onelook.com),NA,NA,,,,,loner,NA,NA,NA,NA,NA,hermit,NA,NA,NA,NA,NA,outcast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word175_NN_discord,1,NULL,NULL,NULL,175,discord,Tier2_hard,NN,disagreement between people,Macmillan (via onelook.com),NA,NA,,,,,conflict,NA,NA,NA,NA,NA,strife,NA,NA,NA,NA,NA,fighting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word177_AJ_rakish,1,NULL,NULL,NULL,177,rakish,Tier2_hard,AJ,"behaving and dressing in a way that is confident and slightly unusual, but attractive",Macmillan (via onelook.com),NA,NA,,,,,hip,NA,NA,NA,NA,NA,cool,NA,NA,NA,NA,NA,bohemian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word184_VB_pontificate,1,NULL,NULL,NULL,184,pontificate,Tier2_hard,VB,"to give your opinions in a way that shows you think you are definitely right, especially when this annoys other people",Macmillan (via onelook.com),NA,NA,,,,,talk,NA,NA,NA,NA,NA,lecture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word200_NN_dolor,1,NULL,NULL,NULL,200,dolor,Tier2_hard,NN,painful grief,WordNet (via onelook.com),NA,NA,,,,,sadness,NA,NA,NA,NA,NA,depression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word208_NN_poise,1,NULL,NULL,NULL,208,poise,Tier2_hard,NN,"a controlled and relaxed way of behaving, even in difficult situations",Macmillan (via onelook.com),"a graceful calm way of moving, standing, or sitting",Macmillan (via onelook.com),,,,,grace,NA,NA,NA,NA,NA,composure,NA,NA,NA,NA,NA,composure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word213_VB_disconcert,1,NULL,NULL,NULL,213,disconcert,Tier2_hard,VB,"to make someone feel worried, confused, or surprised (""Her sudden silence disconcerted me."")",Macmillan (via onelook.com),NA,NA,,,,,confuse,NA,NA,NA,NA,NA,perplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word214_VB_kerlerap,1,NULL,NULL,NULL,214,kerlerap,rare,VB,to cavort; to play,Luciferous Logolepsy,NA,NA,,,,,play,NA,NA,NA,NA,NA,frolic,NA,NA,NA,NA,NA,cavort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
